grid_id,iteration,continuity_residual_l2,momentum_residual_l2,primary_monitor_name,primary_monitor_value
coarse,1,0.1,0.2,q_out_m3_s,0.0000060
coarse,100,0.003,0.008,q_out_m3_s,0.0000080
coarse,300,0.00002,0.00004,q_out_m3_s,0.0000081640
coarse,500,0.00000005,0.00000002,q_out_m3_s,0.00000816488
coarse,600,0.000000008,0.000000004,q_out_m3_s,0.000008164873643
medium,1,0.1,0.2,q_out_m3_s,0.0000060
medium,140,0.002,0.006,q_out_m3_s,0.0000077
medium,400,0.00001,0.00003,q_out_m3_s,0.0000079300
medium,700,0.00000003,0.00000001,q_out_m3_s,0.00000793173
medium,800,0.000000005,0.000000003,q_out_m3_s,0.000007931728198
fine,1,0.1,0.2,q_out_m3_s,0.0000060
fine,180,0.001,0.004,q_out_m3_s,0.0000076
fine,500,0.000008,0.00002,q_out_m3_s,0.0000078700
fine,900,0.00000002,0.000000008,q_out_m3_s,0.00000787342
fine,1000,0.000000003,0.000000002,q_out_m3_s,0.000007873419748
